Timestamp,CO2(ppm)
2025/5/20 3:31,553
2025/5/20 3:46,547
2025/5/20 4:01,543
2025/5/20 4:16,538
2025/5/20 4:31,532
2025/5/20 4:46,529
2025/5/20 5:01,526
2025/5/20 5:16,523
2025/5/20 5:31,518
2025/5/20 5:46,512
2025/5/20 6:01,511
2025/5/20 6:16,505
2025/5/20 6:31,503
2025/5/20 6:46,502
2025/5/20 7:01,502
2025/5/20 7:16,502
2025/5/20 7:31,503
2025/5/20 7:46,502
2025/5/20 8:01,515
2025/5/20 8:16,513
2025/5/20 8:31,515
2025/5/20 8:46,510
2025/5/20 9:01,526
2025/5/20 9:16,536
2025/5/20 9:31,525
2025/5/20 9:46,517
2025/5/20 10:01,515
2025/5/20 10:16,520
2025/5/20 10:31,531
2025/5/20 10:46,538
2025/5/20 11:01,556
2025/5/20 11:16,573
2025/5/20 11:31,596
2025/5/20 11:46,619
2025/5/20 12:01,634
2025/5/20 12:16,643
2025/5/20 12:31,716
2025/5/20 12:46,763
2025/5/20 13:01,833
2025/5/20 13:16,755
2025/5/20 13:31,713
2025/5/20 13:46,727
2025/5/20 14:01,716
2025/5/20 14:16,750
2025/5/20 14:31,745
2025/5/20 14:46,739
2025/5/20 15:01,719
2025/5/20 15:16,673
2025/5/20 15:31,657
